#,Year,Sport,Name of Athlete,Event,Country Represented,What She Would Have Won,Links
19,2023,Cycling,Dany Irais Marroquino,"Activa Mexico Cycling Series, Fecha 6/Pro 1 Womens, Autodromo Hermanos Rodriguez, Mexico City, Mexico, 8 July",Mexico,Second Place,[1]
20,2023,Cycling,Kala Garcia Arrache,"Activa Mexico Cycling Series, Fecha 6/Pro 1 Womens, Autodromo Hermanos Rodriguez, Mexico City, Mexico, 8 July",Mexico,Third Place,[1]
21,2023,Cycling,Lucy Scoville,1/2/3 Women’s Northwest Elimination Champion at the Jerry Baker Velodrome,USA,First Place,[1]
22,2023,Cycling,Lucy Dorer,1/2/3 Women’s Northwest Elimination Champion at the Jerry Baker Velodrome,USA,Second Place,[1]
23,2023,Cycling,Dany Morshed,Zuricrit Women’s Fixed Gear Racing Final,Switzerland,First Place,[1]
24,2023,Cycling,Selina Burch,Zuricrit Women’s Fixed Gear Racing Final,Switzerland,Second Place,[1]
25,2023,Cycling,Michelle de Graaf,Zuricrit Women’s Fixed Gear Racing Final,Switzerland,Third Place,[1]
26,2023,Cycling,Hillary Allen,"TransAtlanticWay Cross Country Cycling Challenge, Ireland, 8-16 June",Ireland,First Place,[1]
27,2023,Cycling,Kristin Chalmers,"Illinois State Cyclocross Championships, Women SingleSpeed, Montrose Beach, IL, 3 December",USA,"First Place, Gold Medal","[1],[2]"
28,2023,Cycling,Allison Zmuda,"Illinois State Cyclocross Championships, Women SingleSpeed, Montrose Beach, IL, 3 December",USA,"Second Place, Silver Medal","[1],[2]"
29,2023,Cycling,Kelly O'brien,"Illinois State Cyclocross Championships, Women SingleSpeed, Montrose Beach, IL, 3 December",USA,"Third Place, Bronze Medal","[1],[2]"
30,2023,Cycling,Lilliana O’Donnell,"Verge Northampton Cyclocross, Cyclocross Women’s Elite, Day 2, Northampton, Massachusetts, 15 November",USA,First Place,"[1],[2]"
31,2023,Cycling,Jennifer Malik,"USA Cycling Cyclocross National Championships, Womens Singlespeed, Louisville, KY, 8 December",USA,First Place,[1]
32,2023,Cycling,Taylor Snider,"USA Cycling Cyclocross National Championships, Womens Singlespeed, Louisville, KY, 8 December",USA,Second Place,[1]
33,2023,Cycling,Caitlin Neuman,"USA Cycling Cyclocross National Championships, Womens Singlespeed, Louisville, KY, 8 December",USA,Third Place,[1]
34,2023,Cycling,Kristen Chalmers,"Montrose Beach CX - CCC #8, Women's Singlespeed, Chicago, IL, 3 December",USA,First Place,[1]
35,2023,Cycling,Allison Zmuda,"Montrose Beach CX - CCC #8, Women's Singlespeed, Chicago, IL, 3 December",USA,Second Place,[1]
36,2023,Cycling,Kelly O'Brien,"Montrose Beach CX - CCC #8, Women's Singlespeed, Chicago, IL, 3 December",USA,Third Place,[1]
37,2023,Cycling,Fran Bromley,"TransAtlanticWay Cross Country Cycling Challenge, Ireland, 8-16 June",UK,Second Place,[1]
38,2023,Cycling,Kirsten Cluley,"TransAtlanticWay Cross Country Cycling Challenge, Ireland, 8-16 June",Scotland,Third Place,[1]
39,2023,Dance (Irish),Carolyn Marshall,"Southern Region Oireachtas, Girls Solo Under 14, Dallas, Texas, 203 December",USA,First Place,[1]
40,2023,Dance (Irish),Scarlett Bireley,"Southern Region Oireachtas, Girls Solo Under 14, Dallas, Texas, 203 December",USA,Second Place,[1]
41,2023,Dance (Irish),Mary Porter,"Southern Region Oireachtas, Girls Solo Under 14, Dallas, Texas, 203 December",USA,Third Place,[1]
42,2023,Dance (Irish),Sophia Chapman,"Southern Region Oireachtas, Girls Solo Under 14, Dallas, Texas, 203 December",USA,Would have World Qualified (WQ),[1]
43,2023,Dance (Irish),Kaycee Kenyon,"Southern Region Oireachtas, Girls Solo Under 14, Dallas, Texas, 203 December",USA,Would have National Qualified (NQ),[1]
44,2023,Disc Golf,Morgan Lynds,"Throw Down the Mountain, Disc Golf Championships, FPO Women's Pro Open, Brooksville, Florida, 31 March-2 April",USA,First Place,
45,2023,Disc Golf,Jordan Lynds,"Throw Down the Mountain, Disc Golf Championships, FPO Women's Pro Open, Brooksville, Florida, 31 March-2 April",USA,Second Place,
46,2023,Disc Golf,Ellen Widboom,"Throw Down the Mountain, Disc Golf Championships, FPO Women's Pro Open, Brooksville, Florida, 31 March-2 April",USA,Third Place,
47,2023,Disc Golf,Debbie Yoo,"Prodigy Lake Marshall Open, Disc Golf, FPO Women’s Pro Open, Montross, VA, 19-21 May",USA,First Place,[1]
48,2023,Disc Golf,Kaitlyn Clay,"Prodigy Lake Marshall Open, Disc Golf, FPO Women’s Pro Open, Montross, VA, 19-21 May",USA,Second Place,[1]
49,2023,Disc Golf,Keerti Goorah,"Prodigy Lake Marshall Open, Disc Golf, FPO Women’s Pro Open, Montross, VA, 19-21 May",USA,Third Place,[1]
50,2023,Disc Golf,Emma Arp,"Discmania’s 303 Open, FPO Women’s Pro Open, Federal Heights, Colorado, 5-7 May",USA,First Place,
51,2023,Disc Golf,Emily Yale,"Discmania’s 303 Open, FPO Women’s Pro Open, Federal Heights, Colorado, 5-7 May",USA,Second Place,
52,2023,Disc Golf,Deann Carey,"Discmania’s 303 Open, FPO Women’s Pro Open, Federal Heights, Colorado, 5-7 May",USA,Third Place,
53,2023,Disc Golf,Karen Sattler,"2023 PDGA Professional Masters Disc Golf World Championships, Women's Pro 55+ Division, Flagstaff, Arizona, 11-15 July 2023",USA,First Place,
54,2023,Disc Golf,Lydie Hellgren,"2023 PDGA Professional Masters Disc Golf World Championships, Women's Pro 55+ Division, Flagstaff, Arizona, 11-15 July 2023",Norway,Second Place,
55,2023,Disc Golf,Karin Falcone,"2023 PDGA Professional Masters Disc Golf World Championships, Women's Pro 55+ Division, Flagstaff, Arizona, 11-15 July 2023",USA,Third Place,
56,2023,Disc Golf,Victoria Earling,"2023 Liberty Gold (DGPT KC Wide Open Qualifying Event), FPO Women's Pro Open, Liberty, MO, 8 April",USA,First Place,[1]
57,2023,Disc Golf,Rachel Price,"2023 Liberty Gold (DGPT KC Wide Open Qualifying Event), FPO Women's Pro Open, Liberty, MO, 8 April",USA,Second Place,[1]
58,2023,Disc Golf,Danielle Long-Calentine,"2023 Liberty Gold (DGPT KC Wide Open Qualifying Event), FPO Women's Pro Open, Liberty, MO, 8 April",USA,Third Place,[1]
59,2023,Disc Golf,Kimberly Giannola,"Rosedale Cup 2023 Presented by Dynamic Discs KC and KCDG - Pro, MA1, FA1, FPO Womens Pro Open, Kansas City, KS, 12 March",USA,First Place,[1]
60,2023,Disc Golf,Danielle Long-Calentine,"Rosedale Cup 2023 Presented by Dynamic Discs KC and KCDG - Pro, MA1, FA1, FPO Womens Pro Open, Kansas City, KS, 12 March",USA,Second Place,[1]
61,2023,Disc Golf,Jennifer Morgan,"PDGA Professional Masters Disc Golf World Championships, Women's Pro 50+ FP50, Flagstaff, AZ, 11-15 July",USA,Second Place,[1]
62,2023,Disc Golf,Kristiina Sylman,"PDGA Professional Masters Disc Golf World Championships, Women's Pro 50+ FP50, Flagstaff, AZ, 11-15 July",Finland,Third Place,[1]
63,2023,Disc Golf,"Amy Campbell, USA","2023 PDGA Professional Masters Disc Golf World Championships, FP50 · Pro Masters Women 50+",USA,Third Place,[1]
64,2023,Fencing,Marja-Liisa Someroja,"2023 FIE Veteran Fencing World Championships, Gold and 2023 Veteran World Champion, Vet-70 Women’s Epee, Daytona Beach, FL, 11-16 October",USA,Gold Medal and World Champion,"[1],[2],[3]"
65,2023,Golf,Danni Vasquez,"Australian Women's Classic Golf Tournament, Bonville Golf Resort, Bonville, Australia, 31 March-2 April",Australia,First Place,
66,2023,Golf,Stephanie Bunque,"Australian Women's Classic Golf Tournament, Bonville Golf Resort, Bonville, Australia, 31 March-2 April",Australia,Second Place,
67,2023,Golf,Belinda Ji and Momoka Kobori,"Australian Women's Classic Golf Tournament, Bonville Golf Resort, Bonville, Australia, 31 March-2 April",Australia,Third Place (Tie),
68,2023,Mountain Biking,Khulan Tumen,"Capital Enduro Mountain Bike Race, Women's, Wellington, New Zealand, 12 February",New Zealand,First Place,
69,2023,Mountain Biking,Xanthe Robb,"Capital Enduro Mountain Bike Race, Women's, Wellington, New Zealand, 12 February",New Zealand,Second Place,
70,2023,Mountain Biking,Lara Comeskey,"Capital Enduro Mountain Bike Race, Women's, Wellington, New Zealand, 12 February",New Zealand,Third Place,
71,2023,Mountain Biking,Poppy Croucher,"Gravity Enduro Mountain Bike Race, Women's, Rotorua, New Zealand, 4-5 March",New Zealand,First Place,
72,2023,Mountain Biking,Emma Hickson,"Gravity Enduro Mountain Bike Race, Women's, Rotorua, New Zealand, 4-5 March",New Zealand,Second Place,
73,2023,Mountain Biking,Kate Hastings,"Gravity Enduro Mountain Bike Race, Women's, Rotorua, New Zealand, 4-5 March",New Zealand,Third Place,
74,2023,Mountain Biking,Emma Maarenen,"Sea Otter Classic, Downhill Mountain Bike, Women's Gravel Race, La Gravilla, Salina, California, 21 April",USA,Third Place,
75,2023,Mountain Biking,Jorja Bond,"CSU Cobb Lake Oval Criterium, Mountain Biking, Women's SW 3/Collegiate Women B, Fort Collins, Colorado, 23 April",USA,First Place,
76,2023,Mountain Biking,Anna Rischitelli,"CSU Cobb Lake Oval Criterium, Mountain Biking, Women's SW 3/Collegiate Women B, Fort Collins, Colorado, 23 April",USA,Second Place,
77,2023,Mountain Biking,Gwen Jorgensen,"CSU Cobb Lake Oval Criterium, Mountain Biking, Women's SW 3/Collegiate Women B, Fort Collins, Colorado, 23 April",USA,Third Place,
78,2023,Mountain Biking,Nadia Gontova,"Tour of the Gila, Mountain Biking, Women's WE 2.2, Stage 1, Silver City to Mogollon, New Mexico, 26 April",Canada,Second Place,
79,2023,Mountain Biking,Ashley Frye,"Tour of the Gila, Mountain Biking, Women's WE 2.2, Stage 1, Silver City to Mogollon, New Mexico, 26 April",USA,Third Place,
80,2023,Mountain Biking,Paige Onweller,"Tour of the Gila, Mountain Biking, Women's WE 2.2, Stage 3, Tyrone to Tyrone, New Mexico, 28 April",USA,Third Place,
81,2023,Mountain Biking,Marcela Prieto,"Tour of the Gila, Mountain Biking, Women's WE 2.2, Stage 5, Silver City to Pinos Altos, New Mexico, 30 April",Mexico,First Place,
82,2023,Mountain Biking,Cassandra Nelson,"Tour of the Gila, Mountain Biking, Women's WE 2.2, Stage 5, Silver City to Pinos Altos, New Mexico, 30 April",USA,Second Place,
83,2023,Mountain Biking,Emily Ehrlich,"Tour of the Gila, Mountain Biking, Women's WE 2.2, Stage 5, Silver City to Pinos Altos, New Mexico, 30 April",USA,Third Place,
84,2023,Mountain Biking,Marcela Prieto,"Overall GC Women's, Tour of the Gila, Mountain Biking, WE 2.2, Silver City, New Mexico, 26-30 April",Mexico,First Place,
85,2023,Mountain Biking,Emily Ehrlich,"Overall GC Women's, Tour of the Gila, Mountain Biking, WE 2.2, Silver City, New Mexico, 26-30 April",USA,Second Place,
86,2023,Mountain Biking,Maeghan Easler,"Overall GC Women's, Tour of the Gila, Mountain Biking, WE 2.2, Silver City, New Mexico, 26-30 April",USA,Third Place,
87,2023,Mountain Biking,Ailish Graham,"Dirty River at Kielder Forest, Mountain Biking, Overall Women's Ranking, Kielder Forest, UK, 22 April",UK,First Place,
88,2023,Mountain Biking,Clare Parkin,"Dirty River at Kielder Forest, Mountain Biking, Overall Women's Ranking, Kielder Forest, UK, 22 April",UK,Second Place,
89,2023,Mountain Biking,Hayley Kuter,"Dirty River at Kielder Forest, Mountain Biking, Overall Women's Ranking, Kielder Forest, UK, 22 April",UK,Third Place,
90,2023,Mountain Biking,Maya Brothers,"Emrick Blvd Crit, Mountain Biking, Women's P/B QCW, Bethlehem, Pennsylvania, 7 May",USA,First Place,
91,2023,Mountain Biking,Jacquelin Paull,"Emrick Blvd Crit, Mountain Biking, Women's P/B QCW, Bethlehem, Pennsylvania, 7 May",USA,Second Place,
92,2023,Mountain Biking,Genesis Jimenez,"Emrick Blvd Crit, Mountain Biking, Women's P/B QCW, Bethlehem, Pennsylvania, 7 May",USA,Third Place,
93,2023,Mountain Biking,Lindsey Kriete,"CO2UT Desert Gravel Mountain Bike Race, Women's 40-49, Fruita, Utah, 14 May",USA,First Place,
94,2023,Mountain Biking,Michelle Van Sickle,"CO2UT Desert Gravel Mountain Bike Race, Women's 40-49, Fruita, Utah, 14 May",USA,Second Place,
95,2023,Mountain Biking,Veronika Hewitt,"CO2UT Desert Gravel Mountain Bike Race, Women's 40-49, Fruita, Utah, 14 May",USA,Third Place,
96,2023,Poker,Dayanna Ciabaton,"World Series of Poker, Seminole Hard Rock Poker Showdown, Ladies' Event, Seminole, Florida, 30 April",USA,First Place,
97,2023,Poker,Abby Merk,"World Series of Poker, Seminole Hard Rock Poker Showdown, Ladies' Event, Seminole, Florida, 30 April",USA,Second Place,
98,2023,Poker,Joy Benn,"World Series of Poker, Seminole Hard Rock Poker Showdown, Ladies' Event, Seminole, Florida, 30 April",USA,Third Place,
99,2023,Pool (English),Lynne Pinches,"English Pool Association 2023 Champion of Champions Ladies Winner, Wales, 11 November 2023",Wales,Withdrew in protest,"[1],[2],[3]"
100,2023,Powerlifting,Aileen Bishop,"Canadian Powerlifting Union (CPU) Nationals, Women Raw 185+ Open, Richmond, BC, Canada, 13 February",Canada,Third Place,[1]
101,2023,Powerlifting,April Hutchinson,"Canadian Powerlifting Union (CPU) Nationals, Women Raw 185+ Open, Richmond, BC, Canada, 13 February",Canada,Podium; Withdrew Due to Conscientious Objection to Competing with Males,[1]
102,2023,Skiing,Carlie Chandler,"California-Nevada Interscholastic Ski & Snowboard Federation High School State Championships, Women's Slalom, Truckee, CA, 6 March",USA,First Place,[1]
103,2023,Skiing,Greta Aronowitz,"California-Nevada Interscholastic Ski & Snowboard Federation High School State Championships, Women's Slalom, Truckee, CA, 6 March",USA,Second Place,[1]
104,2023,Skiing,Lauren Sandberg,"California-Nevada Interscholastic Ski & Snowboard Federation High School State Championships, Women's Slalom, Truckee, CA, 6 March",USA,Third Place,[1]
105,2023,Snooker and Billiards,Mary Talbot-Deegan,2023 Inter County Logistics English Women's Snooker Championship,England,First Place,[1]
106,2023,Track and Field,Angie Morrison,"Athletics Ontario, Winter Mini Meet 1, Toronto Track and Field Center, Women's 45-49, 3000 meters, Masters, Toronto, Canada, 8 January",Canada,First Place,
107,2023,Track and Field,Catherine Weber,"12th Canadian Masters Athletics Indoor Championships, Toronto Track and Field Center, Women's 50-54, 1500 meters, Toronto, Canada, 25-26 February",Canada,First Place,
108,2023,Track and Field,Ariel Piper,"Nice Cote D'Azur Athletisme (NCAA) Interclubs Open, 200 meters/TCF Female, Nice, France, 7 May",France,First Place,
109,2023,Track and Field,Maureen Mueller,"Nice Cote D'Azur Athletisme (NCAA) Interclubs Open, 200 meters/TCF Female, Nice, France, 7 May",Germany,Second Place,
110,2023,Track and Field,Yousra Madi,"Nice Cote D'Azur Athletisme (NCAA) Interclubs Open, 200 meters/TCF Female, Nice, France, 7 May",France,Third Place,
111,2023,Track and Field,Elllie Buckley,"CIF-North Coast Section Meet of Champions, High School Women's 1600 meters, Dublin, California, 20 May",USA,Second Place,
112,2023,Track and Field,Adeline Johnson,"CIF-North Coast Section Meet of Champions, High School Women's 1600 meters, Dublin, California, 20 May",USA,Third Place; would have advanced to State Championships,
113,2023,Track and Field,Cristina Sanulli,"Campionati Italiani Master Indoor Athletics, F50 Women's 200 meters, Ancona, Italy, 12 March",Italy,First Place,
114,2023,Track and Field,Denise Neumann,"Campionati Italiani Master Indoor Athletics, F50 Women's 200 meters, Ancona, Italy, 12 March",Italy,Second Place,
115,2023,Track and Field,Agnese Claudia Rossi,"Campionati Italiani Master Indoor Athletics, F50 Women's 200 meters, Ancona, Italy, 12 March",Italy,Third Place,
116,2023,Track and Field,Kaitlin O'Shea,"2023 Wilderness League Championships, New Hampshire High School State Wide, Girls 1600 meter run, Belmont, NH, 20 May",USA,First Place,
117,2023,Track and Field,Adah Chapman,"2023 Wilderness League Championships, New Hampshire High School State Wide, Girls 1600 meter run, Belmont, NH, 20 May",USA,Second Place,
118,2023,Track and Field,Emma Schaumloffel,"2023 Wilderness League Championships, New Hampshire High School State Wide, Girls 1600 meter run, Belmont, NH, 20 May",USA,Third Place,
119,2023,Track and Field,Gretchen Reynolds,"2023 Wilderness League Championships, New Hampshire High School State Wide, Girls High Jump, Belmont, NH, 20 May 2023",USA,First Place,
120,2023,Track and Field,Anelie Flynn,"2023 Wilderness League Championships, New Hampshire High School State Wide, Girls High Jump, Belmont, NH, 20 May 2023",USA,Second Place,
121,2023,Track and Field,Jordyn Carroll,"2023 Wilderness League Championships, New Hampshire High School State Wide, Girls High Jump, Belmont, NH, 20 May 2023",USA,Third Place,
122,2023,Track and Field,Brynn Mooney,"Nazareth Alumni Opener 2024, Womens 300 Meter Dash Finals, Rochester, NY 8 December",USA,First Place,"[1],[2],[3]"
123,2023,Track and Field,Victoria Brewster,"Nazareth Alumni Opener 2024, Womens 300 Meter Dash Finals, Rochester, NY 8 December",USA,Second Place,"[1],[2],[3]"
124,2023,Track and Field,Kayla Huba,"Nazareth Alumni Opener 2024, Womens 300 Meter Dash Finals, Rochester, NY 8 December",USA,Third Place,"[1],[2],[3]"
125,2023,Track and Field,Ariel Piper,"Women's 200 Metre Race, Nice, France, 7 May",France,First Place,[1]
126,2023,Track and Field,Grace Alexander,"Regional high school cross country championship, Maine, Cross Country, Class C, Cumberland, Maine, 21 October",USA,First Place,[1]
127,2023,Track and Field,Haley Williams,"Regional high school cross country championship, Maine, Cross Country, Class C, Cumberland, Maine, 21 October",USA,Second Place,[1]
128,2023,Track and Field,Laia Montoya,"La Cursa de NaDalt (a chrono-climbing race), Catalonia, Spain, 26 December",Spain,First Place,[1]
129,2022,Cross Country,MacKenzie Caputo,"Seattle Academy School Record for 5000 meters Women's Cross Country, Seattle, WA",USA,Would have retained her School Record from 2017,
130,2022,Cross Country,Kathryn Frazer,"Seattle, WA High School 1A District 2 Cross Country Championships, Women's 5000 m, South Whidbey HS, 29 Oct",USA,Second Place,
131,2022,Cross Country,Sophia Inglin,"Seattle, WA High School 1A District 2 Cross Country Championships, Women's 5000 m, South Whidbey HS, 29 Oct",USA,Third Place,
132,2022,Cross Country,Isla Chadsey,"Emerald Sound Conference Championship, High School Women's 5000 m Varsity, Granite Falls High School, 22 Oct",USA,First Place,
133,2022,Cross Country,Sophia Inglin,"Emerald Sound Conference Championship, High School Women's 5000 m Varsity, Granite Falls High School, 22 Oct",USA,Second Place,
134,2022,Cross Country,Kathryn Frazer,"Emerald Sound Conference Championship, High School Women's 5000 m Varsity, Granite Falls High School, 22 Oct",USA,Third Place,
135,2022,Cross Country,Sophia Inglin,"Emerald League 6th Meet at Magnuson, Women's 5000 m Varsity High School, Seattle, WA, 13 Sept",USA,Second Place,
136,2022,Cross Country,Sadie Honig,"Emerald League 6th Meet at Magnuson, Women's 5000 m Varsity High School, Seattle, WA, 13 Sept",USA,Third Place,
137,2022,Cross Country,Madeline Harrison,"Fort Steilacoom Cross Country Invitational, 5000m Girls Silver Varsity Flight 2 High School, Ft. Steilacoom Park, Seattle, WA, 17 Sept",USA,First Place,
138,2022,Cross Country,Margaret Champlain,"Fort Steilacoom Cross Country Invitational, 5000m Girls Silver Varsity Flight 2 High School, Ft. Steilacoom Park, Seattle, WA, 17 Sep",USA,Second Place,
139,2022,Cross Country,Samantha Christy,"Fort Steilacoom Cross Country Invitational, 5000m Girls Silver Varsity Flight 2 High School, Ft. Steilacoom Park, Seattle, WA, 17 Sep",USA,Third Place,
140,2022,Cross Country,Talia Wilson,"Emerald Sound Meet at Lower Woodland Park, Women's 5000 m Varsity, Lower Woodland Part, Seattle, WA 11 Oct",USA,Second Place,
141,2022,Cross Country,Sarah Guralnick,"Emerald Sound Meet at Lower Woodland Park, Women's 5000 m Varsity, Lower Woodland Part, Seattle, WA 11 Oct",USA,Third Place,
142,2022,Cross Country,Paula James,Canadian Women's Masters Indoor 5000m run for ages 45-49,Canada,Record holder for fastest time,
143,2022,Cross Country,Livia Coburn,"Road2Hope, Canadian Cross-Country Championships, 8 km Masters, Hamilton Marathon, Hamilton, Canada, 22 May",Canada,Silver Medal,
144,2022,Cross Country,Breanne Schaefer,"Road2Hope, Canadian Cross-Country Championships, 8 km Masters, Hamilton Marathon, Hamilton, Canada, 22 May",Canada,Bronze Medal,
145,2022,Cycling,Sue Dent,"Tweedlove Enjoyro Female EBike, Tweed Green, Peebles Hydro, Tweed Valley, Scotland, 23 April",Scotland,First Place,
146,2022,Cycling,Joanne Woolley,"Tweedlove Enjoyro Female EBike, Tweed Green, Peebles Hydro, Tweed Valley, Scotland, 23 April",Scotland,Second Place,
147,2022,Cycling,Valerie Barr,"Tweedlove Enjoyro Female EBike, Tweed Green, Peebles Hydro, Tweed Valley, Scotland, 23 April",Scotland,Third Place,
148,2022,Cycling,Maddy Ward,"Tour of the Gila, Wonen's Elite Cycle Race, Silver City, New Mexico, 1 May",USA,Third Place,
149,2022,Cycling,Jane Page,"British Cycling National Downhill Series 2022 Round 2, UCI C1, Women 19+, Fort William, Inverness-shire, UK, May 7-8, 2022",UK,First Place,
150,2022,Cycling,Sara Allan,"British Cycling National Downhill Series 2022 Round 2, UCI C1, Women 19+, Fort William, Inverness-shire, UK, May 7-8, 2022",UK,Second Place,
151,2022,Cycling,Shona McKinnon,"British Cycling National Downhill Series 2022 Round 2, UCI C1, Women 19+, Fort William, Inverness-shire, UK, May 7-8, 2022",UK,Third Place,
152,2022,Cycling,Clara Honsinger,"Joe Martin Stage Race, Women's Cycling, UCI 2.2, Fayetteville, Arkansas, 19-22 May",USA,Third Place,
153,2022,Cycling,Regina Legge,"Northampton Cycling Club Hydra Cross, Women Cat 1/2/3, Holyoke, MA, 3 Sept",USA,First Place,
154,2022,Cycling,Christin Reuter,"Northampton Cycling Club Hydra Cross, Women Cat 1/2/3, Holyoke, MA, 3 Sept",USA,Second Place,
155,2022,Cycling,Lillliana Odonnell,"Northampton Cycling Club Hydra Cross, Women Cat 1/2/3, Holyoke, MA, 3 Sept",USA,Third Place,
156,2022,Cycling,Ava Holmgren,"Northampton International Cyclocross Day 1, UCI Elite Women, Northampton, MA, 12 Nov",Canada,First Place,
157,2022,Cycling,Lizzy Gunsalus,"Northampton International Cyclocross Day 1, UCI Elite Women, Northampton, MA, 12 Nov",USA,Second Place,
158,2022,Cycling,Raylyn Nuss,"Northampton International Cyclocross Day 1, UCI Elite Women, Northampton, MA, 12 Nov",USA,Third Place,
159,2022,Cycling,Caitline Bernstein,"Northampton International Cyclocross Day 2, UCI Elite Women, Northampton, MA, 12 Nov",USA,Third Place,
160,2022,Cycling,Caitlin Bernstein,"Soall Viet Kitchen Beverly Cyclocross p/b Old Planters Brewing Co, Women's Elite 1/2/3, Beverly, MA, 10 Sept",USA,First Place,
161,2022,Cycling,Regina Legge,"Soall Viet Kitchen Beverly Cyclocross p/b Old Planters Brewing Co, Women's Elite 1/2/3, Beverly, MA, 10 Sept",USA,Second Place,
162,2022,Cycling,Greta Kilburn,"Soall Viet Kitchen Beverly Cyclocross p/b Old Planters Brewing Co, Women's Elite 1/2/3, Beverly, MA, 10 Sept",USA,Third Place,
163,2022,Cycling,Caitlin Bernstein,"Virginia's Blue Ridge GO Cross p/b Deschutes Brewery, Women's Pro Day 1, Roanoke, VA, 17 Sept",USA,Third Place,
164,2022,Cycling,Lizzy Gunsalus,"Virginia's Blue Ridge GO Cross p/b Deschutes Brewery, Women's Pro Day 2, Roanoke, VA, 18 Sept",USA,Third Place,
165,2022,Cycling,Raylyn Nuss,"Rochester Cyclocross, Women's Pro, Rochester, NY, 24 Sept",USA,Third Place,
166,2022,Cycling,Sidney McGill,"Charm City Cross, Day 2, Women's Pro, Baltimore, MD, 2 Oct",USA,Third Place,
167,2022,Cycling,Caitlin Bernstein,"Really Rad Festival of Cyclocross Day 2, Women's Pro, Falmouth, MA, 6 Nov",USA,Third Place,
168,2022,Cycling,Hannah Arensman,"USA Cycling Cyclocross National Championships Day 6, Women Senior Pro Cat 1/2/3, Hartford, CT, 11 Dec",USA,Third Place,
169,2022,Cycling,Sabina Rossiello,"Vanier Park CX, Coquitlam, Intermediate Women, British Columbia, Canada, 25 Sept",Canada,First Place,
170,2022,Cycling,Lianne Leblond,"Vanier Park CX, Coquitlam, Intermediate Women, British Columbia, Canada, 25 Sept",Canada,Second Place,
171,2022,Cycling,Rebecca Cohen,"Vanier Park CX, Coquitlam, Intermediate Women, British Columbia, Canada, 25 Sept",Canada,Third Place,
172,2022,Cycling,Allison Halpin,"Harvest Cyclocross Series: Washougal Cyclocross, Category 1/2 Women, Washougal, OR, 24 Sept",USA,Second Place,
173,2022,Cycling,Rachel Geiter,"Harvest Cyclocross Series: Washougal Cyclocross, Category 1/2 Women, Washougal, OR, 24 Sept",USA,Third Place,
174,2022,Cycling,Michal Bennett,"Cross Crusade, Cyclocross, Rainier High School, Category 1/2 Women, Rainier, OR, 9 Oct",USA,First Place,
